channel_name,video_id,title
3Blue1Brown,3foYyPDp0Ho,"Summer of Math Exposition #4 | Teachers, I'd love to hear from you"
3Blue1Brown,Dlsa9EBKDGI,Where my explanation of Grover’s algorithm failed
3Blue1Brown,RQWpF2Gb-gU,But what is quantum computing?  (Grover's Algorithm)
3Blue1Brown,XX8mjBXBqz8,Testing your intuition for quantum computing
3Blue1Brown,aQwEJKWATlE,How to measure nearby galaxies
3Blue1Brown,aw-8BhCilj0,Measuring the distance to Venus without radar
3Blue1Brown,M6LUPYsjods,Measuring the speed of light using Jupiter's moons
3Blue1Brown,mHya9J9pkq4,The tragic tale of Guillaume Le Gentil
3Blue1Brown,C8baNzpnZ7o,Zooming out by powers of 10
3Blue1Brown,6dTyOl1fmDo,There's more to those colliding blocks that compute pi
3Blue1Brown,TZAC0WFemvE,When being beautifully wrong leads to discovery
3Blue1Brown,YP1mMXRCnaI,Why the ancient Greeks rejected heliocentrism
3Blue1Brown,gzbFNnTCkqQ,How to estimate the distance to the sun
3Blue1Brown,drmphB3rdHY,How Aristarchus deduced the distance to the moon
3Blue1Brown,hFMaT9oRbs4,How to measure the universe | The Cosmic Distance Ladder Part 2
Data School,5xAgKRFvFg0,"Top AI news: ChatGPT undeletes your chats, Copilot security flaw, Veo 3 TV ad"
Data School,JF8WjK70AEQ,What is Retrieval Augmented Generation (RAG)?
Data School,TDlGKocbHoc,Jupyter & IPython terminology explained
Data School,rOKXLCCyWn8,How to keep up with AI in 2025
Data School,GnN3Lqh3wOU,Build an AI chatbot with Python
Data School,ChGDJda7usk,Guess the MYSTERY course 🎁
Data School,mN51Tp02RNk,"Course outline: ""Master Machine Learning with scikit-learn"""
Data School,ZYJ7OjNobmA,"Course overview: ""Master Machine Learning with scikit-learn"""
Data School,AZzk8fQVHSU,Introduction to model ensembling
Data School,47jp10PxzIg,How to save a scikit-learn Pipeline with custom transformers
Data School,E5zOAtlrQqE,Should I shuffle samples with cross-validation?
Data School,n21_An7Usyc,Cost-sensitive learning in scikit-learn
Data School,MtQqYtn-ox0,scikit-learn vs Deep Learning
Data School,vUSFLs8w_dg,How to read the scikit-learn documentation
Data School,WkqM0ndr42c,My top 50 scikit-learn tips
freeCodeCamp.org,HaUe2AN210g,"Enterprise AI Tutorial – Embeddings, RAG, and Multimodal Agents Using Amazon Nova and Bedrock"
freeCodeCamp.org,ZvZ7gvcmPmI,Learn TypeScript – Crash Course for Beginners
freeCodeCamp.org,Z_c4byLrNBU,Data Structure and Algorithm Patterns for LeetCode Interviews – Tutorial
freeCodeCamp.org,clTpnp0TlYg,We are truly in the Hackathon Era – Namanh Kapur interview [Podcast #180]
freeCodeCamp.org,XSJD5ay1D_8,Data Viz w/ Svelte and D3 Tutorial – Custom and Interactive Data Visualization
freeCodeCamp.org,0xah5jMflcI,Building ‍Security into AI – Tutorial
freeCodeCamp.org,ilotANpzN7I,799 rejections... but he got the job! Braydon Coyer developer interview [Podcast #179]
freeCodeCamp.org,ObiAWFqgpMg,Build and Deploy a Polished AI Project and Get Sales
freeCodeCamp.org,rhCiuu4AW_w,VGG From Scratch – Deep Learning Theory & PyTorch Implementation (Full Course)
freeCodeCamp.org,qDtVzumlb8M,Combine Vibe Coding & n8n to Build Real AI Apps
freeCodeCamp.org,cMOz7Tyq7aE,From freeCodeCamp to NASA with Data Engineer Joe Hill [Podcast #178]
freeCodeCamp.org,pHMtbdGoP_g,"Google Calendar Clone Tutorial – PHP, MySQL, JavaScript, HTML, and CSS"
freeCodeCamp.org,DrAZf4ZHqaM,Google Cloud Cybersecurity Certificate Course
freeCodeCamp.org,yDhCweudqyY,Rust VS Go VS TypeScript which back end language is for you with Tai Groot [Podcast #176]
freeCodeCamp.org,8WBS0dT0h2I,Evolution of the Transformer Architecture Used in LLMs (2017–2025) – Full Course
sentdex,cmnJhOWp2z4,A bigger brain for the Unitree G1- Dev w/ G1 Humanoid P.4
sentdex,Uc1nhT8beTU,Unitree G1 - Moving the arms/hands - Dev w/ G1 Humanoid P.3
sentdex,sJYlJlIEBpg,"Unitree G1 LiDAR, SLAM, navigation and control. Dev w/ G1 Humanoid P.2"
sentdex,pPTo62O__CU,Unboxing the Unitree G1 Edu Humanoid
sentdex,57cPmzwCqd4,Vibe Coding a Robotic Hand to Crawl (Inspire RH56DFQ)
sentdex,MeHWIXLV3Zo,Vibe Coding Robot Hands w/ Cursor (Inspire RH56DFQ-2L/R)
sentdex,WKF__cJTxvg,Programming with LLM Agents in 2025
sentdex,VyseRArtl5E,What's going on everybody?
sentdex,pCX_3p40Efc,Building an LLM fine-tuning Dataset
sentdex,ChfEO8l-fas,Visualizing Neural Network Internals
sentdex,mm9IHqgCbZc,Getting Back on Grid
sentdex,_GQfj3jhXVM,Open Source AI Inference API w/ Together
sentdex,9MigSbQ7AQk,INFINITE Inference Power for AI
sentdex,OnYGtKQT-rU,Pandas Dataframes on your GPU w/ CuDF
sentdex,J_3hDqSvpmg,QLoRA is all you need (Fast and lightweight model fine-tuning)
Two Minute Papers,6CSq2CuGBD0,Blender 4.5 - How My Dream Just Came True!
Two Minute Papers,4bFDPVe6BHs,The “Biggest” AI That Came Out Of Nowhere!
Two Minute Papers,TzIKbjuSy2A,Roblox Solved The Physics Problem That Stumped Everyone!
Two Minute Papers,AVeQfSab9to,NVIDIA’s New AI Cheated At Parkour…And Got Fixed!
Two Minute Papers,DFBZ8KEqVXw,Unreal Engine 5.6: Outrageously Good!
Two Minute Papers,yRk6vGkfpAI,NVIDIA’s New AI: Painting With Light!
Two Minute Papers,jZT7yHVgcOo,OpenAI’s New AI: Crushing Games! 🎮
Two Minute Papers,WFG-VGZIwUo,NVIDIA’s New AI: Growing Worlds From Nothing!
Two Minute Papers,q2b_8XpGte0,Google’s New Tech: This Isn’t a Photo!
Two Minute Papers,76VYzhs-0FE,NVIDIA’s New AI: Next Level Games Are Coming!
Two Minute Papers,qYJk9l65eJ8,"Microsoft’s New AI: Ray Tracing 16,000,000 Images!"
Two Minute Papers,yKJ0Nv6yEIU,"NVIDIA’s New AI: Wow, Video Games Become Reality!"
Two Minute Papers,ZE0JZYgiaGc,NVIDIA’s New AI: Impossible Weather Graphics!
Two Minute Papers,Pqx-gSiogjM,DeepMind’s Veo3 AI - The New King Is Here!
Two Minute Papers,T0eWBlFhFzc,DeepMind’s AlphaEvolve AI: History In The Making!
StatQuest,qPN_XZcJf_s,"Reinforcement Learning with Human Feedback (RLHF), Clearly Explained!!!"
StatQuest,DVGmsnxB2UQ,Reinforcement Learning with Neural Networks: Mathematical Details
StatQuest,9hbQieQh7-o,Reinforcement Learning with Neural Networks: Essential Concepts
StatQuest,Z-T0iJEXiwM,Reinforcement Learning: Essential Concepts
StatQuest,_kstkMF-lQQ,StatQuest on DeepLearning.AI!!! Check out my short course on attention!
StatQuest,fivdgj5w0K0,StatQuest with Josh Starmer is live!
StatQuest,GDN649X_acE,"Encoder-Only Transformers (like BERT) for RAG, Clearly Explained!!!"
StatQuest,qJrmQe8TOTw,Luis Serrano + Josh  Starmer Q&A Livestream!!!
StatQuest,DkmfIQRDyXc,Human Stories in AI: Nana Janashia@TechWorld With Nana
StatQuest,0QOm7Sn5uwQ,A few more lessons from my Pop!
StatQuest,wIGOnM6Cf_E,Human Stories in AI: Abbas Merchant@Matics Analytics
StatQuest,jp_NcF9Oagk,Luis Serrano + Jay Alammar + Josh  Starmer Q&A Livestream!!!
StatQuest,C9QSpl5nmrY,Coding a ChatGPT Like Transformer From Scratch in PyTorch
StatQuest,m8fvdRZb5CE,Human Stories in AI: Amy Finnegan
StatQuest,QhWZq8oBpVw,Human Stories in AI: Xavier Moyá
Lex Fridman Podcast,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast #475"
Lex Fridman Podcast,upeawiM1Sag,DHH rant against Apple
Lex Fridman Podcast,UbOjufRmpq4,Advice for beginner programmers
Lex Fridman Podcast,vagyIcmIGOQ,"DHH: Future of Programming, AI, Ruby on Rails, Productivity & Parenting | Lex Fridman Podcast #474"
Lex Fridman Podcast,dnuVvRyrBb0,Eisenhower's warning about the military industrial complex. I think about these words often.
Lex Fridman Podcast,gtmJi8LbAts,"Iran War Debate: Nuclear Weapons, Trump, Peace, Power & the Middle East | Lex Fridman Podcast #473"
Lex Fridman Podcast,UN5qgBk6MwY,Terence Tao on Grigori Perelman declining the Fields Medal
Lex Fridman Podcast,HUkBz-cdB-k,"Terence Tao: Hardest Problems in Mathematics, Physics & the Future of AI | Lex Fridman Podcast #472"
Lex Fridman Podcast,b268x2kzefY,Lex Fridman tests Google XR glasses
Lex Fridman Podcast,ufI31PNM9u8,"Google CEO on Elon Musk, Tesla, and Waymo"
Lex Fridman Podcast,sXPONXB8WCo,Lex Fridman tests Google Beam
Lex Fridman Podcast,9V6tWC4CdFQ,Sundar Pichai: CEO of Google and Alphabet | Lex Fridman Podcast #471
